,text,name
Q1000425,"Li Fei (; February 17, 1983) is a Chinese football player who currently plays as a left-footed midfielder for Shenzhen Ruby in the China League One.

Club career
Li Fei was scouted as a 17 years old t",Li Fei (footballer)
Q1000435,"Peter Henry Sweeney (born 25 September 1984 in Glasgow) is a Scottish professional footballer who plays as a midfielder for Dartford

He has previously played for Millwall, Stoke City, Yeovil Town, Wa",Peter Sweeney
Q1002293,"Dustin Hunter Johnson (born June 22, 1984) is an American professional golfer who currently plays on the PGA Tour. He is one of the longest drivers on the PGA Tour, having been third in the driving di",Dustin Johnson
Q1002796,"Giovane Alves da Silva ( born November 25, 1982 in Taió, Santa Catarina, Brazil), commonly known as Giovane, is a Brazilian footballer, who plays as a striker for Eastern Salon.

Playing career

Club ",Giovane Alves da Silva
Q1003099,"Xu Jiao (; born 5 August 1997) is a Chinese actress.  She made her film debut in the 2008 sci-fi film CJ7. Despite being a girl, she played a boy in CJ7.

Filmography
Films
{| class=""wikitable sortabl",Xu Jiao
Q1004398," is a Japanese voice actress and child model who was born in Tokyo, Japan.

She has been affiliated with the talent agencies Crayon, Five Eight, and Switch 58. She is currently affiliated with Oscar P",Asumi Nakada
Q1004751,"{|align=""right""
|
|-
|
|}
Prince Felix of Denmark, Count of Monpezat (Felix Henrik Valdemar Christian; born 22 July 2002), is the younger son of Prince Joachim and his former wife, Alexandra, Countess",Prince Felix of Denmark
Q10068,"Lindsey Caroline Vonn (née Kildow; born October 18, 1984) is an American World Cup alpine ski racer on the United States Ski Team. She has won four World Cup championships—one of two female skiers to ",Lindsey Vonn
Q1006904,"Aleksander Denstad With (born 30 June 1987 in Trondheim) is a Norwegian who won season 4 of the TV  show Idol in May 2006, becoming the youngest person ever to win the competition.

Aleksander release",Aleksander Denstad With
Q1007001,"Shen Longyuan (; born 2 March 1985 in Yangpu, Shanghai) is a Chinese football player who currently plays for Fujian Broncos in the China League Two. He is also a member for the China national football",Shen Longyuan
Q1007752,"Abraão Lincoln Martins, or simply Lincoln (born 14 June 1983), is a Brazilian striker who currently plays for Brasiliense.

Club career statistics
{| class=""wikitable"" style=""text-align:center;""
|-
! ",Abraão Lincoln Martins
Q1008011,"Mkhokheli ""Kheli"" Dube (born 6 August 1983 in Bulawayo) is a Zimbabwean footballer.

Career

Early career and college
Dube played in the youth system of his hometown team, Zimbabwe Saints, and played ",Kheli Dube
Q1008114,"Mauricio Fernando Castro Matamoros (born August 11, 1981 in Tegucigalpa) is a Honduran footballer who currently plays for Atlético Choloma in the Honduran National League.

Club career
Nicknamed Pipo,",Mauricio Castro
Q1010218,"Huenes Marcelo Lemos known as Mineiro (Demonym of Minas Gerais) (born 5 December 1981) is a Brazilian footballer who plays for Sport Club Internacional's reserves team.

Biography
Born in Iguatama, Mi",Huenes Marcelo Lemos
Q10118,"Victoria Azarenka ( (Viktoriya Fyodorovna Azarenka) , ; born 31 July 1989) is a Belarusian professional tennis player. She is a former world No. 1 and is currently world No. 31 as of 17 November 2014.",Victoria Azarenka
Q10120,"Laura Robson (born 21 January 1994) is a British tennis player, who is the current No. 24 ranked female player in Great Britain.http://www.britishtennis.net/gbtop25f/currentf.htm She debuted on the In",Laura Robson
